Tab.2.5.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ausländische Studierende in Deutschland nach Hochschularten und Herkunftsstaaten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Hochschulen insgesamt,Universität 1),Fachhochschule 2)
,WS 1980/1981,WS 1990/1991,WS 1992/1993,WS 1994/1995,WS 1996/1997,WS 1997/1998,WS 1998/1999,WS 1999/2000,WS 2000/2001,WS 2001/2002,WS 2002/2003,WS 2003/2004,WS 2004/2005,WS 2005/2006,WS 2006/2007,WS 2007/2008,WS 2008/2009,WS 2009/2010,WS 2010/2011,WS 2011/2012,WS 2012/2013,WS 2013/2014,WS 2014/2015,WS 2015/2016,WS 2016/2017,WS 2017/2018,WS 2018/2019,WS 2019/2020,WS 2019/2020,WS 2019/2020
Staatsangehörigkeit,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl
    Argentinien,212,321,371,365,368,368,389,389,419,466,505,519,485,477,456,438,413,434,433,409,416,470,483,551,590,663,720,699,489,210
    Bolivien,160,240,234,220,200,203,195,186,190,196,200,219,221,224,223,198,206,200,225,245,285,301,289,309,304,321,358,382,262,120
    Brasilien,490,896,1085,1193,1206,1225,1278,1325,1432,1509,1550,1698,1682,1867,2018,2118,2246,2467,2561,2727,3310,3884,4708,4811,3501,3954,4203,4382,3334,1048
    Chile,516,515,546,517,455,441,449,472,459,483,575,611,606,626,607,611,665,703,760,814,875,888,933,941,1043,1072,1097,1152,958,194
    Kanada,330,392,440,456,428,443,438,419,430,471,500,535,548,577,584,554,615,615,656,757,805,904,1039,1100,1196,1220,1229,1195,984,211
    Kolumbien,246,407,431,421,417,432,443,497,544,679,828,988,1090,1178,1261,1356,1479,1608,1715,1871,2065,2346,2599,2898,3100,3280,3498,3709,2803,906
    Mexiko,189,259,280,277,276,319,347,417,502,588,730,977,1174,1268,1394,1380,1584,1607,1749,2059,2245,2425,2714,2886,3050,3147,3287,3284,2312,972
    Peru,275,518,561,669,692,719,714,756,797,827,862,902,899,956,974,953,1019,1000,1044,1055,1068,1112,1105,1174,1230,1309,1378,1436,1023,413
    Venezuela,215,118,157,180,207,203,202,239,274,309,310,325,345,377,351,350,387,411,425,439,463,505,555,595,642,686,711,661,478,183
    Vereinigte Staaten,3531,4207,4436,4371,3993,3926,3719,3576,3467,3318,3384,3324,3280,3195,3337,3247,3513,3825,4242,4598,4654,4855,5316,5837,6521,6851,6829,6821,5634,1187
    Sonstige Staaten in Amerika,408,582,749,748,784,815,798,848,842,917,984,1074,1137,1172,1192,1167,1239,1755,1460,1579,1700,1848,1971,2240,2450,2501,2674,2827,2027,800
Asien,16738,30051,34100,34626,33324,33494,34390,36191,39683,46921,56441,65205,67729,69107,69422,66691,67640,69072,72326,77233,84097,92548,100926,109811,120506,131447,147026,160829,114795,46034
    Afghanistan,548,612,658,612,565,590,579,592,628,682,695,698,670,720,762,745,896,987,1042,1151,1118,1135,1215,1256,1377,1361,1503,1693,937,756
    China,317,4230,5752,5726,4980,5017,5355,6526,9109,14070,20141,25284,27129,27390,27117,25479,24746,24414,24443,25521,27364,30511,32460,34643,37603,39541,42676,44490,37425,7065
    Indien,655,609,665,667,708,727,846,1117,1412,2088,3303,4112,4249,3988,3780,3527,3516,4070,5038,5998,7532,9619,11860,13740,15529,17570,20810,25149,15856,9293
    Indonesien,3185,2125,2125,2162,1933,1894,1896,2056,2128,2246,2421,2557,2551,2570,2537,2431,2400,2544,2574,2646,3046,3399,3811,4384,4905,5194,5436,5471,2905,2566
    Irak,233,375,362,295,257,262,314,343,367,393,421,428,454,510,556,564,599,678,784,837,915,973,1105,1114,1177,1143,1204,1370,855,515
    Iran,5331,10485,10369,9957,8916,8452,7867,7071,6359,5757,5334,5090,4185,4067,4092,3871,4182,4388,4739,5361,6117,6607,7033,7513,8213,8525,9523,10368,8103,2265
    Israel,461,1047,1156,1172,1042,1004,976,926,876,858,923,1082,1202,1277,1304,1391,1453,1572,1599,1643,1689,1711,1689,1679,1723,1731,1711,1656,1349,307
    Japan,1256,1219,1385,1592,1745,1788,1949,2023,2182,2311,2382,2495,2422,2339,2339,2183,2106,2099,2061,2138,2213,2317,2255,2281,2322,2285,2299,2358,2104,254
    Jordanien,711,1029,1210,1198,1251,1217,1174,1106,1029,1036,996,986,909,867,795,701,756,839,855,933,999,1080,1139,1263,1447,1767,1765,1851,987,864
    Libanon,284,327,365,357,336,341,365,440,487,602,751,942,1032,1137,1240,1261,1333,1288,1271,1221,1176,1163,1176,1202,1266,1249,1307,1373,853,520
    Pakistan,267,186,208,266,358,435,524,579,653,762,951,1163,1239,1277,1298,1318,1469,1610,1844,2141,2523,3143,3655,4167,4749,5258,6093,6316,4424,1892
    Südkorea,1066,4228,4686,4747,4790,4868,4858,4890,4853,5144,5359,5361,5160,5096,5076,5003,5209,5219,5280,5222,5287,5518,5792,6087,6527,6835,7066,7444,6527,917
    Syrien,508,498,757,773,775,792,855,865,922,949,1047,1188,1318,1616,1790,1885,2067,2244,2329,2459,2575,2646,2889,3803,5469,9035,13652,17181,10606,6575
    Taiwan,475,942,1135,1342,1463,1393,1421,1378,1265,1294,1336,1411,1350,1302,1323,1232,1222,1272,1364,1409,1509,919,1488,1755,2013,2390,2782,3155,2399,756
    Thailand,290,227,213,241,271,306,318,405,487,614,768,920,984,966,948,939,993,941,949,978,932,930,937,974,1057,1155,1154,1137,729,408
    Vietnam,621,1147,1525,1621,1526,1517,1443,1385,1410,1424,1594,1960,2418,2982,3315,3566,3671,3870,4189,4671,5155,5597,5794,6356,6581,7060,7510,7602,4130,3472
    Sonstige Staaten in Asien,530,765,1529,1898,2408,2891,3650,4489,5516,6691,8019,9528,10457,11003,11150,10595,11022,11037,11965,12904,13947,15280,16628,17594,18548,19348,20535,22215,14606,7609
Australien/Ozeanien,135,164,205,260,289,263,291,299,313,337,360,395,382,400,419,417,426,526,543,645,666,715,814,908,1020,965,990,991,778,213
    Australien,110,134,171,201,228,202,224,233,255,267,286,313,296,323,341,344,352,419,427,516,525,578,666,755,849,793,820,827,652,175
    Neuseeland,25,23,24,53,51,54,59,55,45,55,61,67,65,63,69,63,65,92,98,101,117,118,125,132,155,153,149,144,115,29
    Sonstige Staaten in Ozeanien,-,7,10,6,10,7,8,11,13,15,13,15,21,14,9,10,9,15,18,28,24,19,23,21,16,19,21,20,11,9
Staaten insgesamt 4),57713,99760,123052,141460,151870,158435,165994,175065,187027,206141,227026,246136,246334,248357,246369,233606,239143,244775,252032,265292,282201,301350,321569,340305,358895,374583,394665,411601,280203,131398
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Federal Statistical Office, Fachserie 11 Reihe 4.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1) Einschließlich Pädagogische, Theologische, Kunst- und Gesamthochschule.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2) Einschließlich Verwaltungsfachhochschule.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3) Die Kategorien EU-Staaten sowie Nicht-EU-Staaten geben den im jeweiligen Referenzsemester gültigen Stand der EU-Mitgliedschaft der europäischen Staaten wieder.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4) Einschließlich Staatenlose und ohne Angabe.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- = Keine Daten auszuweisen oder 0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m = Daten nicht verfügbar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Results of the ICE-BMBF's ICE-Database of the Federal Ministry of Education and Research (BMBF) (ICE = Information, Controlling, Entscheidung)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A system of the German Centre for Higher Education Research and Science Studies (DZHW), http://www.dzhw.eu/en/index_html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last update: October 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This work is licensed under a Data licence Germany attribution 2.0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(https://www.govdata.de/dl-de/by-2-0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
