Tab.2.5.34,,,,,,,
,,,,,,,
Ausländische Studierende in Deutschland nach Fächergruppen und Herkunftsstaaten 1),,,,,,,
,,,,,,,
,,Geisteswissenschaften 2),"Rechts-, Wirtschafts- und Sozialwissenschaften","Mathematik, Naturwissenschaften",Ingenieurwissenschaften,Humanmedizin/ Gesundheitswissenschaften,"Agrar-, Forst- und Ernährungswissenschaften, Veterinärmedizin"
Staatsangehörigkeit,Wintersemester,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl,Anzahl
,2010/2011,473,445,270,241,89,43
,2011/2012,536,488,303,247,97,52
,2012/2013,560,565,352,259,111,58
,2013/2014,616,640,374,297,115,69
,2014/2015,688,734,411,330,173,69
,2015/2016,652,916,337,496,211,68
,2016/2017,700,942,358,569,203,68
,2017/2018,692,904,413,609,201,73
,2018/2019,670,918,428,596,203,74
,2019/2020,706,875,433,607,154,77
    Österreich,1998/1999,2066,2128,859,886,202,159
,1999/2000,1985,2105,802,849,211,154
,2000/2001,2035,2035,879,808,210,160
,2001/2002,2209,2082,1018,745,202,166
,2002/2003,2130,2081,1012,820,182,164
,2003/2004,1988,2255,989,800,179,162
,2004/2005,1709,1956,922,836,192,155
,2005/2006,1702,2115,916,842,206,149
,2006/2007,1659,2329,892,871,259,143
,2007/2008,1548,2233,879,906,323,129
,2008/2009,1674,2846,894,1056,410,134
,2009/2010,1868,3078,993,1212,482,137
,2010/2011,2237,3289,1136,1384,584,145
,2011/2012,2542,3565,1256,1466,715,151
,2012/2013,2878,3668,1367,1520,909,167
,2013/2014,3097,3752,1600,1545,1055,186
,2014/2015,3091,4063,1660,1589,1192,237
,2015/2016,1926,5216,956,2482,1347,253
,2016/2017,2003,5468,1020,2504,1394,263
,2017/2018,2037,5667,1055,2632,1547,256
,2018/2019,2002,5611,1089,3011,1672,233
,2019/2020,2019,5984,1081,3057,1704,345
    Polen,1998/1999,2923,2780,513,577,170,52
,1999/2000,3324,3307,639,657,196,58
