,course_type,course_name,course_link,uni_name,uni_city,finan_support,lang_of_instr,dura_of_study,semester_beginning,superv_type
230,PhD / Doctorate,Solar System School — International Max Planck Research School for Solar System Science (PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4074/,University of Göttingen ,Göttingen,inquire,English,6 semesters,Any time,Structured research and supervision
231,PhD / Doctorate,Spemann Graduate School of Biology and Medicine (SGBM),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6883/,University of Freiburg ,Freiburg im Breisgau,inquire,English,6 semesters,Any time,Structured research and supervision
232,PhD / Doctorate,Structured PhD Programme in Integrated Climate System Sciences (ICSS),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4116/,Universität Hamburg ,Hamburg,inquire,English,6 semesters,"Winter semester, Summer semester",Structured research and supervision
233,Graduate school,The Graduate School of Life Sciences (GSLS),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5418/,Julius-Maximilians-Universität Würzburg ,Würzburg,inquire,English,6 semesters,"Winter semester, Summer semester",Structured research and supervision
234,PhD / Doctorate,"Trafficking of Immune Cells in Inflammation, Development and Disease (DFG-SFB 914 Integriertes GRK)",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4367/,Ludwig-Maximilians-Universität München ,München,inquire,English,6 semesters,"Winter semester, Summer semester",Structured research and supervision
235,PhD / Doctorate,"Trinational Doctoral Programme in Europe's Founding Myths in Literature, Art and Music",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6881/,University of Bonn ,Bonn,inquire,"German, French, Italian",6 semesters,Any time,Structured research and supervision
236,PhD / Doctorate,Trinational Doctoral Programme in Italian Studies,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3857/,University of Bonn ,Bonn,inquire,"German, Italian",6 semesters,Any time,Structured research and supervision
237,PhD / Doctorate,Tübingen International PhD Programme: Biological Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4130/,Max Planck Institute for Developmental Biology ,Tübingen,inquire,English,8 semesters,Any time,Structured research and supervision
238,PhD / Doctorate,Understanding Written Artefacts Doctoral Programme,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6935/,Universität Hamburg ,Hamburg,inquire,English,6 semesters,Any time,Structured research and supervision
239,PhD / Doctorate,Wood Biology and Wood Technology (PhD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3694/,University of Göttingen ,Göttingen,inquire,English,6 semesters,Any time,Structured research and supervision
