,Unnamed: 0,course_type,course_name,course_link,uni_name,german_cities_x,finan_support,lang_of_instr,dura_of_study,semester_beginning,superv_type,german_cities_dup,german_cities_y,german_states
51,52,PhD / Doctorate,Doctoral Programme Quantitative Economics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3760/,Kiel University ,Kiel,inquire,English,6 semesters,Winter semester,Structured research and supervision,Kiel,Kiel,Schleswig-Holstein
52,53,PhD / Doctorate,Doctoral Programme Research Training Group 2175 Perception in Context and its Neural Basis,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4798/,Ludwig-Maximilians-Universität München ,München,inquire,English,6 semesters,Any time,Structured research and supervision,Munich,Munich,Bavaria
53,54,PhD / Doctorate,Doctoral Training Programme in the Learning Sciences (DTP-LS),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4127/,Ludwig-Maximilians-Universität München ,München,inquire,English,6 semesters,Winter semester,Structured research and supervision,Munich,Munich,Bavaria
54,55,PhD / Doctorate,Doctorate in TechnoScienceStudies,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5285/,Technische Universität München ,München,inquire,English,6 semesters,Winter semester,Structured research and supervision,Munich,Munich,Bavaria
55,56,PhD / Doctorate,Dresden International Graduate School for Biomedicine and Bioengineering (DIGS-BB),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3834/,Technische Universität Dresden ,Dresden,inquire,English,8 semesters,Any time,Structured research and supervision,Dresden,Dresden,Saxony
56,57,PhD / Doctorate,Dresden Leibniz Graduate School (DLGS): Excellence in Spatial Sustainability Science and Transformative Leadership,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4291/,Leibniz Institute of Ecological Urban and Regional Development ,Dresden,inquire,English,6 semesters,Summer semester,Structured research and supervision,Dresden,Dresden,Saxony
57,58,PhD / Doctorate,Einstein Center of Catalysis / Berlin International Graduate School of Natural Sciences and Engineering (EC2/BIG-NSE),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3974/,Technische Universität Berlin ,Berlin,inquire,English,6 semesters,Winter semester,Structured research and supervision,Berlin,Berlin,Berlin
58,59,PhD / Doctorate,European Doctorate in Law & Economics (EDLE),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4054/,Universität Hamburg ,Hamburg,inquire,English,8 semesters,Winter semester,Structured research and supervision,Hamburg,Hamburg,Hamburg
59,60,PhD / Doctorate,Evolution and Ecology Research School Tübingen (EVEREST),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6144/,University of Tübingen ,Tübingen,inquire,English,6 semesters,Any time,Structured research and supervision,Tübingen,Tübingen,Baden-Württemberg
60,61,PhD / Doctorate,Evolutionary Processes in Adaptation and Disease (DFG Research Training Group 2220 EvoPAD),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4792/,University of Münster ,Münster,inquire,English,6 semesters,Any time,Structured research and supervision,Münster,Münster,North Rhine-Westphalia
