,Unnamed: 0,course_type,course_name,course_link,uni_name,german_cities_x,tution_fee,lang_of_instr,dura_of_study,semester_beginning,online_course_elemen,online_subject_el,oline_e_learning_type,german_cities_dup,german_cities_y,german_states
83,84,Bachelor's degree,BSc Mechanical Engineering (International) at Carl Benz School of Engineering,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3918/,Karlsruhe Institute of Technology ,Karlsruhe,"7.000,00",English,6 semesters,Winter semester,,,,Karlsruhe,Karlsruhe,Baden-Württemberg
84,85,Bachelor's degree,Business Administration,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7023/,HWTK - University of Applied Sciences ,Berlin,"3.480,00",German,6 semesters,"Winter semester, Summer semester",,,,Berlin,Berlin,Berlin
85,86,Bachelor's degree,Business Administration / Digital Enterprise Management (BSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4659/,Pforzheim University ,Pforzheim,"1.500,00","German, English",7 semesters,Winter semester,,,,Pforzheim,Pforzheim,Baden-Württemberg
86,87,Bachelor's degree,Business Administration with Informatics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3895/,South Westphalia University of Applied Sciences ,Soest,none,English,7 semesters,Winter semester,,,,Soest,Soest,North Rhine-Westphalia
87,88,Bachelor's degree,"Business Analytics (BSc), full-time",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6949/,SRH University of Applied Sciences Hamm ,Leverkusen,"4.080,00",English,6 semesters,Winter semester,,,,Leverkusen,Leverkusen,North Rhine-Westphalia
88,89,Bachelor's degree,Business Analytics (full-time BSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6944/,SRH University of Applied Sciences Hamm ,Hamm,"4.080,00",English,6 semesters,Winter semester,,,,Hamm,Hamm,North Rhine-Westphalia
89,90,Bachelor's degree,Business Economics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3744/,Martin Luther University Halle-Wittenberg ,Halle (Saale),none,English,6 semesters,Winter semester,,,,Halle (Saale),Halle (Saale),Saxony-Anhalt
90,91,Bachelor's degree,Business Informatics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7078/,HWTK - University of Applied Sciences ,Berlin,"3.480,00",German,6 semesters,Summer semester,,,,Berlin,Berlin,Berlin
91,92,Bachelor's degree,Business Management & Development,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7080/,HWTK - University of Applied Sciences ,Berlin,"3.540,00",English,4 semesters,"Winter semester, Summer semester",Online,,,Berlin,Berlin,Berlin
92,93,Bachelor's degree,"Business Management (BSc), full-time",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6424/,SRH University of Applied Sciences Hamm ,Hamm,"4.080,00",English,6 semesters,Winter semester,,,,Hamm,Hamm,North Rhine-Westphalia
