,german_cities
626,Gießen (Hesse)
627,Gifhorn (Lower Saxony)
628,Ginsheim-Gustavsburg (Hesse)
629,Gladbeck (North Rhine-Westphalia)
630,Gladenbach (Hesse)
631,Glashütte (Saxony)
632,Glauchau (Saxony)
633,Glinde (Schleswig-Holstein)
634,Glücksburg (Schleswig-Holstein)
635,Glückstadt (Schleswig-Holstein)
636,Gnoien (Mecklenburg-Western Pomerania)
637,Goch (North Rhine-Westphalia)
638,Goldberg (Mecklenburg-Western Pomerania)
639,Goldkronach (Bavaria)
640,Golßen (Brandenburg)
641,Gommern (Saxony-Anhalt)
642,Göppingen (Baden-Württemberg)
643,Görlitz (Saxony)
644,Goslar (Lower Saxony)
645,Gößnitz (Thuringia)
646,Gotha (Thuringia)
647,Göttingen (Lower Saxony)
648,Grabow (Mecklenburg-Western Pomerania)
649,Grafenau (Bavaria)
650,Gräfenberg (Bavaria)
651,Gräfenhainichen (Saxony-Anhalt)
652,Gräfenthal (Thuringia)
653,Grafenwöhr (Bavaria)
654,Grafing bei München (Bavaria)
655,Gransee (Brandenburg)
656,Grebenau (Hesse)
657,Grebenstein (Hesse)
658,Greding (Bavaria)
659,Greifswald (Mecklenburg-Western Pomerania)
660,Greiz (Thuringia)
661,Greußen (Thuringia)
662,Greven (North Rhine-Westphalia)
663,Grevenbroich (North Rhine-Westphalia)
664,Grevesmühlen (Mecklenburg-Western Pomerania)
665,Griesheim (Hesse)
666,Grimma (Saxony)
667,Grimmen (Mecklenburg-Western Pomerania)
668,Gröditz (Saxony)
669,Groitzsch (Saxony)
670,Gronau (Leine) (Lower Saxony)
671,Gronau (Westf.) (North Rhine-Westphalia)
672,Gröningen (Saxony-Anhalt)
673,Großalmerode (Hesse)
674,Groß-Bieberau (Hesse)
675,Großbottwar (Baden-Württemberg)
676,Großbreitenbach (Thuringia)
677,Großenehrich (Thuringia)
678,Großenhain (Saxony)
679,Groß-Gerau (Hesse)
680,Großräschen (Brandenburg)
681,Großröhrsdorf (Saxony)
682,Großschirma (Saxony)
683,Groß-Umstadt (Hesse)
684,Grünberg (Hesse)
685,Grünhain-Beierfeld (Saxony)
686,Grünsfeld (Baden-Württemberg)
687,Grünstadt (Rhineland-Palatinate)
688,Guben (Brandenburg)
689,Gudensberg (Hesse)
690,Güglingen (Baden-Württemberg)
691,Gummersbach (North Rhine-Westphalia)
692,Gundelfingen an der Donau (Bavaria)
693,Gundelsheim (Baden-Württemberg)
694,Günzburg (Bavaria)
695,Gunzenhausen (Bavaria)
696,Güsten (Saxony-Anhalt)
697,Güstrow (Mecklenburg-Western Pomerania)
698,Gütersloh (North Rhine-Westphalia)
699,Gützkow (Mecklenburg-Western Pomerania)
700,Haan (North Rhine-Westphalia)
701,Hachenburg (Rhineland-Palatinate)
702,Hadamar (Hesse)
703,Hagen (North Rhine-Westphalia)
704,Hagenbach (Rhineland-Palatinate)
705,Hagenow (Mecklenburg-Western Pomerania)
706,Haiger (Hesse)
707,Haigerloch (Baden-Württemberg)
708,Hainichen (Saxony)
709,Haiterbach (Baden-Württemberg)
710,Halberstadt (Saxony-Anhalt)
711,Haldensleben (Saxony-Anhalt)
712,Halle (Saale) (Saxony-Anhalt)
713,Halle (North Rhine-Westphalia)
714,Hallenberg (North Rhine-Westphalia)
715,Hallstadt (Bavaria)
716,Haltern am See (North Rhine-Westphalia)
717,Halver (North Rhine-Westphalia)
718,Hamburg (Hamburg)
719,Hameln (Lower Saxony)
720,Hamm (North Rhine-Westphalia)
721,Hammelburg (Bavaria)
722,Hamminkeln (North Rhine-Westphalia)
723,Hanau (Hesse)
724,Hann. Münden (Lower Saxony)
725,Hanover (Lower Saxony)
726,Harburg (Bavaria)
727,Hardegsen (Lower Saxony)
728,Haren (Ems) (Lower Saxony)
729,Harsewinkel (North Rhine-Westphalia)
730,Hartenstein (Saxony)
731,Hartha (Saxony)
