,course_type,course_name,course_link,uni_name,uni_city,tution_fee,lang_of_instr,dura_of_study,semester_beginning,online_course_elemen,online_subject_el,oline_e_learning_type
26,Bachelor's degree,Bachelor in European Economic Studies (BSc in EES),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3635/,University of Bamberg ,Bamberg,none,"German, English",6 semesters,Winter semester,,,
27,Bachelor's degree,Bachelor in Management & Technology (BSc) - Heilbronn,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5704/,Technische Universität München ,Heilbronn,none,English,6 semesters,Winter semester,,,
28,Bachelor's degree,Bachelor International Business (BIB),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3906/,HTW Berlin ,Berlin,none,English,7 semesters,"Winter semester, Summer semester",,,
29,Bachelor's degree,Bachelor of Arts in Business Management and Psychology (BMP),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4828/,Furtwangen University ,Villingen-Schwenningen,"1.500,00","German, English",7 semesters,Summer semester,,,
30,Bachelor's degree,Bachelor of Arts in European Studies / Bachelor of Arts in European Studies (Major),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3642/,University of Passau ,Passau,none,"German, English, French, Italian, Russian, Spanish, Other teaching language",6 semesters,"Winter semester, Summer semester",,,
31,Bachelor's degree,Bachelor of Arts in Fashion Design (with internship),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5617/,Hochschule Fresenius - University of Applied Sciences ,Berlin,"4.050,00",English,7 semesters,Winter semester,,,
32,Bachelor's degree,Bachelor of Arts in Global Economics and Management,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4128/,Jacobs University Bremen ,Bremen,"10.000,00",English,6 semesters,Winter semester,,,
33,Bachelor's degree,Bachelor of Arts in Governance and Public Policy,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6285/,University of Passau ,Passau,none,German,6 semesters,Winter semester,,,
34,Bachelor's degree,"Bachelor of Arts in International Business (Internationale Betriebswirtschaft, IBW)",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5274/,Furtwangen University ,Villingen-Schwenningen,"1.500,00","German, English, Chinese, French, Spanish",7 semesters,"Winter semester, Summer semester",,,
35,Bachelor's degree,Bachelor of Arts in International Business Administration,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4631/,Jacobs University Bremen ,Bremen,"10.000,00",English,6 semesters,Winter semester,,,
36,Bachelor's degree,Bachelor of Arts in International Business Management (IBM),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3675/,Furtwangen University ,Villingen-Schwenningen,"1.500,00",English,7 semesters,Winter semester,,,
37,Bachelor's degree,Bachelor of Arts in International Cultural and Business Studies,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3643/,University of Passau ,Passau,none,"German, English, Chinese, French, Italian, Russian, Spanish, Other teaching language",6 semesters,Winter semester,,,
38,Bachelor's degree,Bachelor of Arts in International Relations: Politics and History,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4048/,Jacobs University Bremen ,Bremen,"10.000,00",English,6 semesters,Winter semester,,,
39,Bachelor's degree,Bachelor of Arts in North American Studies,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4612/,Freie Universität Berlin ,Berlin,none,English,6 semesters,Winter semester,,,
40,Bachelor's degree,"Bachelor of Arts in Society, Media and Politics",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3592/,Jacobs University Bremen ,Bremen,"10.000,00",English,6 semesters,Winter semester,,,
41,Bachelor's degree,Bachelor of Engineering in Biomedical Engineering,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4008/,FH Aachen University of Applied Sciences ,Jülich,none,German,6 semesters,Winter semester,,,
42,Bachelor's degree,Bachelor of Engineering in Electrical Engineering,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3998/,FH Aachen University of Applied Sciences ,Jülich,none,German,6 semesters,Winter semester,,,
43,Bachelor's degree,Bachelor of Engineering in Engineering Physics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3772/,University of Oldenburg ,Oldenburg,none,"German, English",6 semesters,Winter semester,,,
44,Bachelor's degree,Bachelor of Engineering in Mechanical Engineering,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4009/,FH Aachen University of Applied Sciences ,Jülich,none,German,6 semesters,Winter semester,,,
45,Bachelor's degree,Bachelor of Engineering in Physical Engineering,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4011/,FH Aachen University of Applied Sciences ,Jülich,none,German,6 semesters,Winter semester,,,
46,Bachelor's degree,Bachelor of Intercultural German Studies (Bachelor Interkulturelle Germanistik),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5562/,University of Bayreuth ,Bayreuth,none,German,6 semesters,"Winter semester, Summer semester",,,
47,Bachelor's degree,Bachelor of Science Biomedical Engineering,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4812/,Technische Universität Ilmenau ,Ilmenau,none,"German, English",7 semesters,Summer semester,,,
48,Bachelor's degree,Bachelor of Science in Applied Chemistry,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3997/,FH Aachen University of Applied Sciences ,Jülich,none,German,6 semesters,Winter semester,,,
49,Bachelor's degree,Bachelor of Science in Biochemistry and Cell Biology (BCCB),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3659/,Jacobs University Bremen ,Bremen,"10.000,00",English,6 semesters,Winter semester,,,
50,Bachelor's degree,Bachelor of Science in Business Administration (BSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4380/,Frankfurt School of Finance & Management ,Frankfurt am Main,"6.950,00",English,7 semesters,Winter semester,,,
51,Bachelor's degree,Bachelor of Science in Business Administration and Economics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7076/,University of Passau ,Passau,none,German,6 semesters,Winter semester,,,
52,Bachelor's degree,Bachelor of Science in Chemistry and Biotechnology,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3660/,Jacobs University Bremen ,Bremen,"10.000,00",English,6 semesters,Winter semester,,,
53,Bachelor's degree,Bachelor of Science in Computer Science,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3663/,Jacobs University Bremen ,Bremen,"10.000,00",English,6 semesters,Winter semester,,,
54,Bachelor's degree,Bachelor of Science in Earth and Environmental Sciences,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3616/,Jacobs University Bremen ,Bremen,"10.000,00",English,6 semesters,Winter semester,,,
55,Bachelor's degree,Bachelor of Science in Electrical and Computer Engineering,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3664/,Jacobs University Bremen ,Bremen,"10.000,00",English,6 semesters,Winter semester,,,
56,Bachelor's degree,Bachelor of Science in Industrial Engineering & Management,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3898/,Jacobs University Bremen ,Bremen,"10.000,00",English,6 semesters,Winter semester,,,
57,Bachelor's degree,Bachelor of Science in Integrated Social and Cognitive Psychology,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3593/,Jacobs University Bremen ,Bremen,"10.000,00",English,6 semesters,Winter semester,,,
58,Bachelor's degree,Bachelor of Science in International Engineering (IEB),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4203/,Furtwangen University ,Villingen-Schwenningen,,"German, English, Chinese, French, Spanish",7 semesters,Winter semester,,,
59,Bachelor's degree,Bachelor of Science in Mathematics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3661/,Jacobs University Bremen ,Bremen,"10.000,00",English,6 semesters,Winter semester,,,
60,Bachelor's degree,Bachelor of Science in Mathematics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6879/,TU Darmstadt ,Darmstadt,none,"German, English",6 semesters,Winter semester,,,
61,Bachelor's degree,Bachelor of Science in Mathematics with Economics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6882/,TU Darmstadt ,Darmstadt,none,"German, English",6 semesters,Winter semester,,,
62,Bachelor's degree,Bachelor of Science in Physics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3662/,Jacobs University Bremen ,Bremen,"10.000,00",English,6 semesters,Winter semester,,,
63,Bachelor's degree,Bachelor of Science in Robotics and Intelligent Systems,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4303/,Jacobs University Bremen ,Bremen,"10.000,00",English,6 semesters,Winter semester,,,
64,Bachelor's degree,Bachelor of Science in Sustainable Systems Engineering (SSE),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5326/,University of Freiburg ,Freiburg im Breisgau,varied,"German, English",6 semesters,Winter semester,,,
65,Bachelor's degree,Bachelor of Science: Human Movement in Sports and Exercise,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4497/,University of Münster ,Münster,none,English,6 semesters,Winter semester,,,
66,Bachelor's degree,Bachelor's in Business Administration,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4392/,Kühne Logistics University ,Hamburg,"5.480,00",English,6 semesters,Winter semester,,,
67,Bachelor's degree,Bachelor's in Business Studies (BSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4080/,EBS Universität für Wirtschaft und Recht ,Oestrich-Winkel,"6.950,00",English,6 semesters,"Winter semester, Summer semester",,,
68,Bachelor's degree,Bachelor's in International Business,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3603/,Technische Hochschule Nürnberg Georg Simon Ohm ,Nürnberg,none,English,7 semesters,Winter semester,,,
69,Bachelor's degree,Bachelor's in International Business Administration (BIBA),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4099/,WHU - Otto Beisheim School of Management ,Vallendar,,English,6 semesters,Winter semester,,,
