,course_type,course_name,course_link,uni_name,uni_city,tution_fee,lang_of_instr,dura_of_study,semester_beginning,online_course_elemen,online_subject_el,oline_e_learning_type
104,Master's degree,Cellular and Molecular Biology of Plants (MSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4606/,University of Tübingen ,Tübingen,varied,"German, English",4 semesters,"Winter semester, Summer semester",,,
105,Master's degree,Chemical and Bioprocess Engineering,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4108/,Hamburg University of Technology ,Hamburg,none,English,4 semesters,Winter semester,,,
106,Master's degree,Chemical and Energy Engineering,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3764/,Otto von Guericke University Magdeburg ,Magdeburg,none,English,4 semesters,"Winter semester, Summer semester",,,
107,Master's degree,Chemistry,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6898/,University of Cologne ,Köln,"300,00",English,4 semesters,"Winter semester, Summer semester",,,
108,Master's degree,Chemistry (Master of Science),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6350/,University of Konstanz ,Konstanz,varied,English,4 semesters,"Winter semester, Summer semester",,,
109,Master's degree,Chemistry (MSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6938/,Ulm University ,Ulm,varied,English,4 semesters,"Winter semester, Summer semester",,,
110,Master's degree,Chemistry (MSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7057/,University of Göttingen ,Göttingen,none,"German, English",4 semesters,"Winter semester, Summer semester",,,
111,Master's degree,"China Business and Economics, Master of Science",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6108/,Julius-Maximilians-Universität Würzburg ,Würzburg,none,"German, English, Chinese",4 semesters,Winter semester,,,
112,Master's degree,"China Language and Economy, Master of Arts (MA)",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6107/,Julius-Maximilians-Universität Würzburg ,Würzburg,,English,4 semesters,Winter semester,,,
113,Master's degree,China-Europe Executive Master of Business Marketing,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7145/,Freie Universität Berlin ,Berlin,"7.333,00",English,3 semesters,Summer semester,Online,,
114,Master's degree,Chinese Law and Comparative Law LLM/MA,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6891/,University of Göttingen ,Göttingen,"1.400,00","German, English",4 semesters,Winter semester,,,
115,Master's degree,Chinese Politics and Society,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6999/,Julius-Maximilians-Universität Würzburg ,Würzburg,,German,4 semesters,Winter semester,,,
116,Master's degree,Chinese Studies,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6982/,Leipzig University ,Leipzig,none,"English, Chinese",4 semesters,"Winter semester, Summer semester",,,
117,Master's degree,"Chinese Studies, Master of Arts (MA)",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6089/,Julius-Maximilians-Universität Würzburg ,Würzburg,,English,4 semesters,Winter semester,,,
118,Master's degree,Chinese-European Economics and Business Studies,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3608/,Hochschule für Wirtschaft und Recht Berlin ,Berlin,"3.738,00",English,4 semesters,Winter semester,,,
119,Master's degree,Civil Systems Engineering,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6957/,Technische Universität Berlin ,Berlin,none,English,4 semesters,Winter semester,,,
120,Master's degree,Cognitive Science,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7025/,TU Darmstadt ,Darmstadt,none,English,4 semesters,Winter semester,,,
121,Master's degree,Cognitive Science (MSc),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3614/,Osnabrück University ,Osnabrück,none,English,4 semesters,"Winter semester, Summer semester",,,
122,Master's degree,"Cognitive Systems: Language, Learning, and Reasoning",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6262/,University of Potsdam ,Potsdam,none,English,4 semesters,Winter semester,,,
123,Master's degree,"Communication & Information Technology, MSc (CIT)",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3713/,University of Bremen ,Bremen,none,English,4 semesters,Summer semester,,,
124,Master's degree,Communication Systems and Networks (Master of Science),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4354/,TH Köln (University of Applied Sciences) ,Köln,none,English,3 semesters,"Winter semester, Summer semester",,,
125,Master's degree,"Communication, Literature, and Media in Modern South Asian Languages",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7013/,Universität Heidelberg ,Heidelberg,varied,"German, English",4 semesters,"Winter semester, Summer semester",,,
126,Master's degree,Communications and Multimedia Engineering (CME),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4261/,FAU Erlangen-Nürnberg ,Erlangen,none,English,4 semesters,Winter semester,,,
127,Master's degree,Communications Engineering,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6246/,University of Duisburg-Essen ,Duisburg,none,"German, English",4 semesters,"Winter semester, Summer semester",,,
128,Master's degree,Communications Engineering – Master's Study Programme,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3698/,RWTH Aachen University ,Aachen,none,English,4 semesters,"Winter semester, Summer semester",,,
129,Master's degree,Comparative & Middle East Politics and Society (CMEPS),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6966/,University of Tübingen ,Tübingen,"1.500,00",English,4 semesters,Winter semester,,,
130,Master's degree,Comparative Public Governance,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6912/,University of Münster ,Münster,"2.083,00",English,4 semesters,Winter semester,,,
131,Master's degree,"Computational Engineering (CE), MSc",https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3727/,FAU Erlangen-Nürnberg ,Erlangen,none,English,4 semesters,Winter semester,,,
132,Master's degree,Computational Linguistics (CL),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4239/,University of Stuttgart ,Stuttgart,varied,English,4 semesters,"Winter semester, Summer semester",,,
133,Master's degree,Computational Materials Science (CMS),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4288/,TU Bergakademie Freiberg ,Freiberg,none,English,4 semesters,Winter semester,,,
134,Master's degree,Computational Mechanics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3595/,Technische Universität München ,München,none,English,4 semesters,Winter semester,,,
135,Master's degree,Computational Mechanics,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6249/,University of Duisburg-Essen ,Duisburg,none,"German, English",4 semesters,"Winter semester, Summer semester",,,
136,Master's degree,Computational Mechanics of Materials and Structures (COMMAS),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3785/,University of Stuttgart ,Stuttgart,varied,English,4 semesters,Winter semester,,,
137,Master's degree,Computational Methods in Engineering (CME),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5300/,Leibniz Universität Hannover ,Hannover,none,English,4 semesters,"Winter semester, Summer semester",,,
138,Master's degree,Computational Science,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6910/,Universität Regensburg ,Regensburg,none,English,4 semesters,"Winter semester, Summer semester",,,
139,Master's degree,Computational Science and Engineering (CSE),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3591/,Technische Universität München ,Garching b. München,none,English,4 semesters,Winter semester,,,
140,Master's degree,Computational Science and Engineering (CSE),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4593/,University of Rostock ,Rostock,none,English,4 semesters,"Winter semester, Summer semester",,,
141,Master's degree,Computational Sciences in Engineering (CSE),https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3685/,Technische Universität Braunschweig ,Braunschweig,none,"German, English",4 semesters,Winter semester,,,
